date,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,APTV,ARE,ARNC,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBT,BBY,BDX,BEN,BHF,BHGE,BIIB,BK,BKNG,BLK,BLL,BMY,BR,BSX,BWA,BXP,C,CAG,CAH,CAT,CB,CBOE,CBRE,CBS,CCI,CCL,CDNS,CE,CELG,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRI,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTXS,CVS,CVX,CXO,D,DAL,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DRE,DRI,DTE,DUK,DVA,DVN,DWDP,DXC,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX
2015-01-05,38.2513,51.7311,155.4007,98.6678,55.273,83.7949,37.07,40.9771,80.6835,71.98,49.4957,44.6782,75.9792,275.3419,58.66,39.6905,51.7388,11.2888,27.1151,247.7479,50.6279,33.4689,60.5976,41.6329,61.94,54.6901,56.99,55.5867,63.7919,53.2251,182.17,22.7041,2.66,49.6653,199.638,141.5071,90.5613,302.19,63.8,80.855,115.7723,88.9554,26.1219,54.7882,72.7907,127.2328,50.7188,,80.1798,32.0763,49.8518,19.2723,147.2983,91.0587,46.9799,48.5098,84.6456,608.49,115.5691,16.3417,36.7987,33.0497,33.0683,132.3652,45.3813,,,336.74,36.4897,1097.58,314.7636,32.3102,52.8741,41.6968,13.81,50.3668,119.2536,49.7135,24.851,72.2481,76.0051,103.0355,62.155,33.92,51.6573,67.4109,40.5371,18.4,53.3731,111.93,64.17,48.1838,22.1624,36.6468,64.3351,160.5,100.9479,44.9328,62.1727,92.9477,41.4836,26.0155,77.1339,667.69,125.5559,30.5897,26.04,19.1446,74.1315,27.7177,159.1443,58.2893,124.2969,18.8142,38.4847,73.0,18.11,58.17,23.7546,32.2804,73.5206,26.6696,51.4544,49.27,85.8134,90.7527,96.11,65.2328,45.0211,78.6265,58.9184,66.7562,61.7561,23.2592,62.7048,87.1517,33.06,32.13,70.44,57.7389,69.62,51.1005,17.2078,50.8506,75.36399999999999,68.9623,74.7,55.7745,,,46.57,23.4576,97.3041,56.1266,76.8627,57.6578,70.9427,66.8507,52.6404,83.9729,197.5219,55.7311,46.735,188.4512,23.0917,56.7294,71.7939,,63.89,31.5529,40.6432,81.2323,52.1507,11.5185,57.1044,41.3165,77.19,42.068999999999996,21.2044,164.14
2015-01-06,37.6554,50.9293,155.2914,98.6771,54.9994,84.2527,36.13,40.5118,80.1015,70.53,48.3383,43.7974,75.3447,271.839,57.5,39.2284,52.0221,11.0344,26.8735,246.2808,49.9099,33.7403,59.7561,41.5527,60.67,53.6209,57.45,54.9324,63.7455,53.1379,177.95,21.8489,2.63,48.7117,195.3361,136.9481,90.3216,295.29,63.81,79.26,117.3502,88.4222,25.9083,54.1937,72.253,127.1876,50.0735,,80.5857,32.3122,49.5431,18.9131,149.3013,88.9878,47.4483,48.6376,82.8416,607.82,114.2078,15.8528,36.6031,32.4052,32.7708,132.1112,44.4931,,,334.65,35.4345,1079.96,309.8723,31.7638,52.7839,42.0124,13.7,50.0162,121.5675,47.9633,24.6055,71.472,75.516,102.1294,62.8014,33.66,50.6386,67.2829,40.9301,17.91,52.5626,110.51,63.52,49.1807,21.9149,36.3423,63.4968,156.31,101.3474,44.5883,61.5195,93.3414,40.2383,25.6761,75.9548,664.38,126.2571,30.6424,26.125,18.7178,72.7517,27.328000000000003,156.8975,55.8828,125.9394,18.6757,38.2272,66.87,17.905,57.2,23.7459,30.994,73.3774,26.3393,50.1174,47.8889,85.8772,90.7107,94.18,64.9005,43.9598,77.9717,57.5354,65.9113,60.82899999999999,22.9452,62.2763,86.6895,31.98,31.12,68.67,57.5597,68.67,50.8578,17.4353,51.0259,75.2503,70.0945,73.62,54.6343,,,45.96,23.1567,94.3939,56.4427,76.2527,57.8783,70.2872,66.57,52.5534,81.58,193.2161,56.0472,46.7614,191.1639,22.4555,56.0935,71.6619,,63.51,31.3109,40.1805,81.2034,53.2848,11.4092,57.1941,40.6114,76.15,41.117,21.5682,164.1303
2015-01-07,38.1552,50.9005,158.6285,100.0607,57.2223,85.9343,37.28,40.8402,81.7828,71.11,48.8466,44.4558,76.0066,273.9231,57.38,39.5335,52.7607,11.0514,27.0422,255.9904,50.1493,34.0819,59.994,41.9538,60.16,53.4051,59.57,55.7736,64.7943,53.8645,187.93,22.0509,2.58,48.8576,200.1302,141.731,91.2712,298.42,65.14,79.71,117.9326,89.4315,26.0982,53.5902,73.4053,128.5613,50.9306,,81.6798,33.1484,50.2515,18.5005,151.0308,91.3916,47.9168,49.2587,84.6509,607.24,115.98100000000001,15.927999999999999,36.7781,32.8378,33.7158,135.2058,45.0767,,,353.24,36.1657,1069.57,316.4303,32.0443,53.4698,42.6993,14.03,51.1911,122.9271,48.408,25.1876,74.0352,76.6863,103.5847,63.8662,34.01,50.5625,68.6908,41.0819,18.42,53.2073,114.55,64.19,50.583,21.9974,36.7499,63.5241,156.79,103.7248,45.1978,62.0094,94.9428,40.6286,25.6529,76.83800000000001,694.26,126.8606,31.1427,26.2675,18.9605,73.5796,27.5618,161.9903,56.2557,128.1323,18.7403,39.9147,68.71,17.96,56.93,23.9653,31.4012,72.9908,26.4769,51.7591,48.6033,87.4265,90.6351,91.99,65.1647,43.7271,77.6351,58.3929,66.7088,61.6001,24.1253,62.6531,87.5763,32.21,31.32,68.46,58.0204,70.83,51.277,17.7893,53.2833,76.1425,70.3193,74.29,54.8909,,,46.81,23.1167,95.7774,57.2797,77.5395,58.8489,70.6102,66.1445,52.4403,81.0666,193.8501,56.8749,47.4458,194.0461,22.8134,56.25899999999999,72.3877,,65.0,31.3541,40.1899,81.2034,54.0553,11.737,58.0714,40.3453,76.15,41.7073,21.8841,165.3386
2015-01-08,39.2989,51.5247,160.0189,103.9053,57.8207,86.1305,38.96,41.6797,83.0299,72.915,49.708999999999996,43.8063,77.7502,281.7313,58.8,39.673,53.2158,11.220999999999998,27.3066,259.5905,49.9283,34.4496,60.8903,42.6848,61.57,55.083999999999996,61.44,56.7364,66.0381,54.5911,183.8,22.7557,2.61,50.0642,202.1679,141.2205,92.1193,300.46,66.12,81.655,123.5587,90.7456,26.776999999999997,55.6661,75.7773,131.5347,51.9227,,82.6151,34.0918,50.5875,18.6898,152.4338,95.9588,49.3404,49.4505,85.8509,606.0,118.0318,16.2571,37.7304,33.3853,34.2233,137.6703,45.6689,,,350.25,36.6656,1082.85,320.1259,32.5955,54.8057,43.3398,14.59,52.0628,123.4223,49.1364,25.7347,76.3186,77.4723,105.2597,63.215,34.75,51.1623,69.7745,41.6892,18.61,54.2665,115.05,65.6,51.2858,22.1624,37.4762,66.3764,162.94,109.0089,46.1606,62.8531,96.0075,41.4836,26.2107,77.1948,719.99,129.4257,31.3095,26.6725,19.4123,74.297,28.1171,162.6493,57.6588,129.2332,18.8973,40.7215,70.0,18.145,58.59,24.1497,31.9009,74.1984,26.7453,52.9683,48.8255,89.2857,92.7091,96.4,65.9316,44.8629,78.6629,59.3333,65.9873,63.2247,24.6772,63.6209,88.4819,32.47,31.43,70.215,58.7795,71.11,52.3215,18.0842,54.1243,76.4923,70.6023,75.77,56.8387,,,48.125,23.7417,97.9147,57.6385,79.19800000000001,59.1753,71.6266,68.1906,53.8146,84.1666,196.1659,57.5146,47.5248,195.2953,23.4396,58.2713,72.8166,,66.575,31.5961,41.2853,84.7923,54.8691,12.0335,60.8977,41.2588,78.175,43.0591,22.3724,169.2053
2015-01-09,39.0105,49.9499,159.2045,104.0167,56.2391,86.8873,38.41,41.2417,82.9376,71.84,49.6727,43.4327,77.1933,284.4906,58.27,39.2284,52.9324,10.9411,26.7276,259.3202,49.0815,34.6335,60.68,42.1054,60.78,55.356,62.58,55.8297,65.3605,54.1357,184.27,22.7792,2.63,49.6166,202.1384,139.4829,91.6492,296.93,66.42,80.76,121.915,90.2504,26.3498,55.5015,75.9981,129.5645,51.6241,,82.3769,34.5421,50.1788,18.35,152.9015,96.9805,48.6975,49.5967,84.7634,606.02,117.7989,15.9656,37.2568,32.5199,33.3045,136.043,45.5674,,,342.34,36.1287,1051.96,316.3306,31.9524,54.4446,43.3584,14.65,50.7079,124.0435,48.038999999999994,25.4191,75.6688,76.5466,103.7678,62.7444,34.65,51.9429,69.6465,41.3498,18.55,53.6126,113.67,64.95,51.7034,21.8966,37.3544,65.6656,161.98,107.8802,45.6571,62.2362,95.3902,39.6343,26.1689,77.2644,714.27,127.4553,30.9672,26.4675,19.0023,73.0092,29.2765,161.6308,57.6499,127.2445,18.3431,40.6052,69.26,18.06,58.16,24.3955,31.8361,73.6161,26.4287,53.1994,48.508,89.2401,90.8618,99.42,65.1902,43.6433,77.8989,58.3836,64.6677,63.0772,24.801,63.1924,88.9159,32.03,31.17,71.79,58.1568,69.46,51.2255,17.941,53.0178,75.9238,70.7022,75.22,57.3993,,,47.51,23.4134,96.6839,57.3395,78.8644,59.4488,71.1517,67.3939,52.9709,84.7285,190.9795,57.9435,46.9281,196.8658,22.9476,57.5483,72.4042,,66.58,31.5443,41.0398,84.4642,54.6613,11.8696,61.6504,40.7887,77.74,43.5827,22.4489,166.9046
2015-01-12,38.5492,47.607,157.8439,101.4537,56.222,84.9534,38.56,41.5884,82.6881,71.12,49.1734,42.89,76.8145,285.0875,57.29,39.0715,52.8637,10.9241,26.5726,262.7948,48.1978,35.2991,60.3873,41.9717,60.75,55.9938,63.17,56.6522,64.6923,53.2735,183.36,22.2342,2.63,48.3808,198.4469,139.9218,91.2527,291.41,66.07,79.92,121.0039,88.9745,26.4542,53.4621,72.0705,128.6698,50.9981,,82.9151,34.6708,50.2605,18.3111,154.2251,95.3764,49.0373,49.4414,83.90100000000001,597.36,117.1989,15.6835,37.4318,32.2197,34.2058,135.0365,44.6454,,,347.84,35.6103,1039.98,314.2473,31.8122,56.1235,43.3305,14.58,49.3815,124.5567,47.6606,25.0263,74.7391,75.8828,102.5138,62.8775,34.5,52.218999999999994,69.5612,41.3409,18.36,53.2994,117.0,64.79,51.78,21.8874,37.2466,66.431,163.85,106.0622,45.3921,61.9277,95.1576,39.2533,26.1131,76.2376,711.7,126.5322,30.8706,26.1975,19.0442,72.7241,28.6042,160.8818,56.0071,126.5342,17.8444,40.7394,69.33,17.815,57.73,24.6237,31.3827,73.1483,26.6008,53.2338,48.5398,88.5839,88.9054,95.08,65.1902,42.8799,77.717,58.107,63.7089,62.8097,24.82,62.4092,89.11399999999999,31.64,30.88,71.28,58.7027,69.43,50.5635,18.0252,52.9735,75.8625,70.7688,74.42,56.1831,,,47.06,23.2325,96.14,57.1431,78.75,59.0077,70.5437,65.7099,52.3359,81.8707,190.9707,58.6132,46.7965,198.13299999999998,22.5798,57.043,71.7856,,67.645,31.6653,41.1815,82.1681,55.4405,11.8774,59.2877,40.4961,76.72,43.6398,22.0852,166.8176
2015-01-13,38.010999999999996,48.3944,152.7092,102.3545,54.6026,85.6167,38.81,40.9188,82.9837,70.59,48.6106,42.9523,76.6638,281.3595,57.34,39.4115,53.1299,11.0429,26.4404,260.4977,47.7467,34.0293,60.3873,42.1767,60.79,57.2037,62.65,57.4,65.0821,53.3801,179.21,21.9241,2.66,48.3808,198.0334,138.9544,90.2386,294.74,65.27,80.63,122.3658,89.3458,26.3403,53.4621,72.7907,127.9919,50.8825,,83.1886,33.8774,50.5058,18.0199,154.0663,94.8401,49.0097,49.551,83.6479,588.95,117.4676,15.4673,37.0458,32.1668,34.2146,133.3058,44.196999999999996,,,352.74,35.5455,1037.82,315.1984,31.6575,56.9719,43.4233,14.5,48.7372,124.2866,47.32,25.1245,74.4594,75.4287,102.6694,62.1455,34.09,52.933,69.3991,41.0462,18.43,52.4889,119.98,65.27,52.0618,21.8782,37.330999999999996,67.078,164.4,106.7115,45.3656,62.3541,95.5333,38.8351,26.4246,75.8199,714.06,125.4494,31.326999999999998,26.68,18.9438,72.1078,28.8965,160.8918,55.4477,125.2646,17.5673,40.7215,68.42,17.76,57.97,24.6632,31.0495,73.9884,26.5664,53.2338,46.7379,88.6204,87.4947,96.98,65.1391,43.3919,78.1172,57.5722,64.36399999999999,62.6437,23.6209,62.0472,89.8027,31.21,30.33,71.765,59.5301,68.0,50.8651,17.9073,52.4512,76.2912,71.1517,74.54,55.955,,,46.42,23.203000000000003,97.2468,57.032,79.2551,58.6724,70.7907,64.9495,52.2576,82.4035,191.2965,58.0112,47.1036,198.4899,22.8532,57.0256,70.9609,,66.81,31.5616,41.2995,82.0234,55.5011,11.8696,61.0522,40.6912,76.45,43.3542,20.4184,165.7833
2015-01-14,37.5401,47.4438,149.7992,101.9645,54.8696,86.0465,38.25,40.6161,82.0138,69.99,48.5743,42.2139,76.4402,275.3125,56.41,39.7776,53.8942,11.1447,26.2353,257.1389,47.2957,34.5109,59.9299,41.8825,59.71,55.825,61.06,57.5215,64.4416,53.6029,175.4,21.6328,2.63,47.7775,194.9522,138.9723,89.667,293.27,65.06,80.72,123.8029,89.2125,26.2738,54.4407,74.2792,126.4646,50.5165,,83.6827,32.0549,51.8953,18.3791,156.0517,95.589,49.1659,50.4279,81.623,582.78,116.7601,15.0817,36.9222,31.4869,34.9234,132.4498,43.5542,,,348.75,34.6476,1035.67,313.1785,31.671999999999997,56.8185,43.0613,14.5,49.0119,125.7452,46.4024,24.9071,73.96300000000001,75.1667,100.5459,61.8127,33.76,51.8572,69.6721,40.6175,18.255,51.1995,121.1,64.68,50.3394,21.4841,37.5652,66.4948,158.13,107.3208,44.977,62.1001,95.6854,38.482,25.9504,73.9751,709.74,126.3902,31.5728,26.6625,18.927,70.5992,28.7504,160.4225,55.6075,123.6843,17.4657,40.7662,66.52,17.665,57.25,24.5096,31.142,74.0456,26.3668,53.4894,45.6663,88.7024,87.2428,100.66,65.1476,42.1817,78.6538,56.3551,64.2216,62.8374,23.9254,61.3379,88.897,30.0,29.17,70.44,60.5793,67.37,50.5929,18.1853,52.4778,77.1134,71.3349,74.69,55.5845,,,46.9,22.74,96.6839,57.647,79.0931,59.5723,70.4107,64.0803,51.8575,85.1675,192.7318,58.7562,47.516000000000005,201.1669,22.3512,55.9628,71.8764,,65.835,31.916,41.0776,82.3804,56.0811,11.7916,65.0998,39.8486,76.28,43.4685,18.1864,166.9916
2015-01-15,36.5309,47.4438,147.0084,99.1971,54.1719,85.3925,37.11,40.3134,81.4503,70.29,47.8662,42.0003,76.4082,273.6296,55.71,40.1438,54.2377,11.1107,26.1487,254.562,46.3936,34.546,59.1433,41.6329,58.63,54.4744,59.63,57.4561,64.256,52.1207,172.87,21.9194,2.52,47.0283,191.3394,136.0704,88.7635,286.95,63.21,80.83,125.9444,89.0792,25.7422,54.8705,72.4834,126.0398,50.0157,,84.0445,32.0978,52.0497,18.0102,156.6252,93.6752,48.1188,50.4644,80.5074,575.28,116.5452,14.2919,36.7936,31.3456,30.0143,132.3181,43.1312,,,339.88,34.481,998.25,310.1894,31.4109,55.626999999999995,42.6436,14.31,47.8087,126.0243,44.6806,25.4892,72.9702,74.2422,100.5185,61.8508,33.24,50.9814,69.6551,40.3407,17.73,51.2916,118.27,64.07,50.235,21.0442,37.8698,66.0756,160.49,106.7414,44.9681,61.9822,96.0791,38.0638,26.0341,73.8533,700.78,125.6092,31.7571,26.7225,18.9605,70.7832,28.0392,159.4639,54.533,123.6843,17.4842,41.2223,66.01,17.505,55.11,24.0619,31.5677,74.1315,26.3599,52.928999999999995,45.2297,88.5566,86.21,100.51,65.7612,41.9396,79.3086,55.4147,62.5318,62.2748,22.0601,60.6065,89.0102,29.47,28.46,70.19,61.0143,66.41,50.4532,18.2275,52.0351,77.8219,72.2256,74.46,54.9764,,,46.64,22.3128,96.0637,58.3987,78.8167,59.8635,70.0212,63.1931,51.6488,83.9929,192.1418,59.0949,48.3408,202.7998,21.6404,55.8147,72.9815,,64.295,32.2186,40.7754,79.6212,56.6351,11.5965,63.2555,39.0149,74.05,41.593,17.7885,168.055
2015-01-16,36.7616,47.8279,148.9749,98.4263,55.5931,86.3454,37.92,40.8087,82.1154,71.73,48.7377,42.4185,77.2024,283.3164,56.85,40.5709,54.5898,11.3397,26.5225,259.3009,47.0472,35.229,59.6189,41.1693,59.22,54.8871,56.92,58.2786,65.7503,51.7041,180.44,22.0556,2.39,47.2521,192.3435,141.9012,89.8145,290.74,64.54,82.69,127.7478,90.9932,25.9463,56.9281,75.3355,126.2657,50.4876,,85.3239,32.7625,53.1033,19.6607,158.0194,95.9866,48.4219,50.8845,80.6574,580.85,117.1183,14.4612,37.0664,31.8047,30.6181,132.0453,43.8164,,,352.75,34.6754,1008.22,315.2799,31.3673,56.2408,43.4048,14.46,48.1308,127.0327,45.0401,25.4121,74.2428,73.8372,102.285,63.2102,33.09,52.895,70.5084,40.5997,18.33,52.0008,121.81,65.59,51.7817,21.255,38.582,66.9322,161.11,107.7703,45.7101,62.7533,97.5911,38.5377,26.392,74.0012,711.11,125.0234,32.1609,27.0725,19.245,70.5072,28.2925,159.5238,56.016000000000005,124.0483,17.281,41.6337,67.01,17.505,56.64,24.2989,32.2618,75.3438,26.4287,54.1038,46.341,89.9874,88.2672,105.0,66.2639,42.6751,79.3996,55.4792,64.2026,64.3223,22.6121,60.9833,89.7933,29.415,28.54,71.85,61.5005,66.71,51.174,18.5477,52.3184,78.6878,72.7168,75.05,57.6748,,,48.085,22.5843,97.5235,59.0222,79.4172,59.9958,70.5057,64.3429,52.4925,87.6621,193.9293,59.742,48.7445,203.6029,22.038,56.2677,73.13,,64.58,32.3136,40.9548,80.5377,57.7433,11.7214,65.4288,40.1324,75.18,42.7545,18.6716,170.868
